日期,股票代碼,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2026-09-04,3293,949923,671280690,710.0,710.0,703.0,709.0,6.0,2934
2026-09-03,3293,1347688,950654098,705.0,710.0,702.0,703.0,-5.0,4914
2026-09-02,3293,4034186,2839130372,701.0,710.0,700.0,708.0,-3.0,10152
2026-09-01,3293,3980170,2838854993,719.0,721.0,707.0,711.0,-19.0,11690
2026-08-31,3293,25878308,18779520511,703.0,730.0,701.0,730.0,23.0,9813
2026-08-28,3293,2805023,1983312550,704.0,713.0,702.0,707.0,3.0,5431
2026-08-27,3293,2945851,2078041834,699.0,713.0,698.0,704.0,2.0,6432
2026-08-26,3293,4732128,3319414650,704.0,707.0,696.0,702.0,-9.0,14677
2026-08-25,3293,5436811,3852769525,715.0,717.0,702.0,711.0,-10.0,13204
2026-08-24,3293,2854769,2057103123,728.0,728.0,715.0,721.0,-11.0,7352
2026-08-21,3293,3723845,2738871836,758.0,763.0,725.0,732.0,-26.0,10983
2026-08-20,3293,2664354,2026692150,751.0,775.0,748.0,758.0,9.0,5458
2026-08-19,3293,2246442,1686672918,742.0,763.0,733.0,749.0,7.0,4759
2026-08-18,3293,1511196,1108585615,728.0,742.0,721.0,742.0,11.0,4071
2026-08-17,3293,1937633,1423187119,750.0,750.0,728.0,731.0,-19.0,10283
2026-08-14,3293,1247702,942335228,762.0,765.0,750.0,750.0,-12.0,5478
2026-08-13,3293,2346194,1784161756,772.0,777.0,750.0,762.0,-19.0,8317
2026-08-12,3293,1689927,1326345088,806.0,806.0,778.0,781.0,-23.0,16938
2026-08-11,3293,1807187,1446875903,793.0,804.0,791.0,804.0,12.0,5501
2026-08-10,3293,1119797,892047779,801.0,804.0,792.0,792.0,-7.0,3998
2026-08-07,3293,2744376,2187329952,784.0,805.0,784.0,799.0,15.0,6730
2026-08-06,3293,1369808,1068561888,777.0,785.0,770.0,784.0,7.0,3842
2026-08-05,3293,1310072,1015178754,774.0,781.0,769.0,777.0,3.0,3619
2026-08-04,3293,1363482,1048451749,765.0,774.0,765.0,774.0,3.0,3124
2026-08-03,3293,1685441,1302540785,771.0,783.0,761.0,771.0,-5.0,4674
2026-07-31,3293,4416618,3437779777,758.0,793.0,754.0,776.0,27.0,9328
2026-07-30,3293,1929007,1438816667,739.0,751.0,732.0,749.0,15.0,5062
2026-07-29,3293,2478724,1828672007,732.0,755.0,722.0,734.0,11.0,6652
2026-07-28,3293,1327031,957111985,721.0,726.0,715.0,723.0,4.0,3871
2026-07-27,3293,987146,712759819,717.0,727.0,713.0,719.0,9.0,2591
2026-07-24,3293,531459,377864769,708.0,714.0,708.0,710.0,-3.0,2099
2026-07-23,3293,666467,476689406,725.0,725.0,712.0,713.0,-5.0,2167
2026-07-22,3293,1037254,746032357,718.0,724.0,714.0,718.0,0.0,2929
2026-07-21,3293,1165228,834371987,708.0,721.0,705.0,718.0,12.0,2922
2026-07-20,3293,1383783,966012164,691.0,712.0,682.0,706.0,20.0,4638
2026-07-17,3293,1801529,1249914728,706.0,706.0,686.0,686.0,-18.0,10362
2026-07-16,3293,1224076,860225070,704.0,708.0,697.0,704.0,0.0,5040
2026-07-15,3293,1904774,1344868372,727.0,727.0,702.0,704.0,-7.0,9278
2026-07-14,3293,1902363,1352702996,731.0,733.0,701.0,711.0,-18.0,9200
2026-07-13,3293,1472050,1080571974,748.0,750.0,728.0,729.0,-15.0,5869
2026-07-09,3293,1110651,823487263,748.0,750.0,736.0,744.0,-4.0,4145
2026-07-08,3293,2094027,1552377085,745.0,758.0,732.0,748.0,0.0,6056
2026-07-07,3293,2201359,1714833475,792.0,795.0,770.0,770.0,-24.0,7847
2026-07-06,3293,1453179,1156874813,799.0,805.0,792.0,794.0,-3.0,4234
2026-07-03,3293,1230353,984054518,798.0,810.0,794.0,797.0,-3.0,3907
2026-07-02,3293,2090189,1682863199,816.0,819.0,793.0,800.0,-19.0,8724
2026-07-01,3293,5490583,4417783138,790.0,819.0,781.0,819.0,30.0,11929
