date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2026-08-27,5452,343887,9651485,28.3,28.3,27.9,28.05,0.15,347
2026-08-26,5452,612363,17052692,27.15,28.2,27.15,27.9,1.05,539
2026-08-25,5452,306401,8223518,27.0,27.15,26.6,26.85,-0.5,275
2026-08-24,5452,273930,7511585,27.6,27.65,27.2,27.35,0.3,318
2026-08-21,5452,246840,6654512,26.7,27.2,26.6,27.05,0.35,278
2026-08-20,5452,193444,5151080,26.75,26.85,26.45,26.7,0.0,191
2026-08-19,5452,282903,7543930,26.5,27.0,26.3,26.7,-0.05,297
2026-08-18,5452,269148,7226916,26.95,27.2,26.75,26.75,-0.45,302
2026-08-17,5452,350743,9479544,26.95,27.25,26.75,27.2,0.25,326
2026-08-14,5452,328312,8827870,27.0,27.1,26.7,26.95,-0.05,357
2026-08-13,5452,330011,8959739,27.6,27.6,26.85,27.0,-0.2,318
2026-08-12,5452,356656,9693014,26.55,27.35,26.55,27.2,0.35,320
2026-08-11,5452,333297,8953648,27.25,27.3,26.6,26.85,-0.35,297
2026-08-10,5452,567679,15361000,26.8,27.35,26.7,27.2,0.95,472
2026-08-07,5452,497917,13189247,26.45,27.0,26.2,26.25,-0.2,387
2026-08-06,5452,299077,7839534,26.7,26.7,25.8,26.45,-0.05,284
2026-08-05,5452,470077,12433445,26.6,26.8,26.15,26.5,0.6,382
2026-08-04,5452,328336,8427560,25.7,25.9,25.3,25.9,0.3,284
2026-08-03,5452,356504,9002064,24.4,25.6,24.3,25.6,0.85,337
2026-07-31,5452,530037,12940124,24.15,24.75,24.15,24.75,1.85,398
2026-07-30,5452,733580,17120783,23.7,23.95,22.9,22.9,-0.85,565
2026-07-29,5452,1280065,29775102,24.9,25.15,22.4,23.75,-1.1,1046
2026-07-28,5452,775183,19419166,25.9,25.9,24.7,24.85,-1.25,606
2026-07-27,5452,350525,9087017,26.35,26.35,25.5,26.1,0.05,349
2026-07-24,5452,492837,12912541,26.4,26.7,25.95,26.05,-0.85,439
2026-07-23,5452,424000,11377056,27.25,27.25,26.5,26.9,-0.3,368
2026-07-22,5452,429482,11686422,26.9,27.8,26.9,27.2,0.7,396
2026-07-21,5452,539805,14230987,26.15,26.55,26.0,26.5,0.6,424
2026-07-20,5452,1605256,41337090,27.1,27.1,24.75,25.9,-1.1,1154
2026-07-17,5452,1500801,41147908,27.9,28.3,26.8,27.0,-1.85,1334
2026-07-16,5452,836739,24369650,29.6,29.6,28.85,28.85,-0.75,641
2026-07-15,5452,816085,24032231,29.5,29.6,29.25,29.6,0.25,628
2026-07-14,5452,2408101,70433086,30.6,30.6,28.0,29.35,-1.35,1800
2026-07-13,5452,1649865,51542177,32.0,32.7,30.7,30.7,-0.9,1267
2026-07-09,5452,829124,26363106,32.15,32.15,31.55,31.6,0.0,730
2026-07-08,5452,1340965,42689144,31.95,32.3,31.25,32.15,0.3,1006
2026-07-07,5452,2324353,75801688,33.9,34.25,31.75,31.85,-1.9,1661
2026-07-06,5452,2354066,80899951,34.6,35.25,33.65,33.75,-0.6,1591
2026-07-03,5452,1856524,64319817,34.35,35.25,33.95,34.35,0.0,1444
2026-07-02,5452,4322642,152661059,35.05,36.65,34.3,34.35,-1.55,3191
2026-07-01,5452,12948265,465334237,34.5,36.8,34.4,35.9,1.7,7534
2026-06-30,5452,3596661,121475919,32.2,34.85,31.6,34.2,2.5,2999
2026-06-29,5452,1143136,36483607,31.65,32.7,31.5,31.7,0.05,731
2026-06-26,5452,2007655,65210304,33.45,33.55,31.65,31.65,-1.75,1315
2026-06-25,5452,2091981,71426339,34.25,35.15,33.4,33.4,-0.55,1514
