日期,股票代碼,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2026-09-02,8033,4279688,788649667,185.0,188.5,181.0,181.0,-4.5,5188
2026-09-01,8033,3433718,636441195,187.0,187.0,183.0,185.5,-1.5,10279
2026-08-31,8033,4731485,892271987,187.5,192.5,187.0,187.0,-2.5,34436
2026-08-28,8033,25691837,4933020808,202.0,205.5,183.5,189.5,-9.5,27948
2026-08-27,8033,28081541,5713121848,193.0,211.5,192.0,199.0,6.5,45592
2026-08-26,8033,10764926,2045419990,182.0,196.5,182.0,192.5,13.5,10464
2026-08-25,8033,5329673,944294852,182.5,186.5,174.0,179.0,-6.0,6308
2026-08-24,8033,683870,127161705,188.0,188.0,184.5,185.0,-0.5,939
2026-08-21,8033,885478,165975180,190.5,190.5,185.0,185.5,-2.0,997
2026-08-20,8033,976656,184544382,190.0,193.5,186.5,187.5,2.5,1524
2026-08-19,8033,1149953,207021309,181.0,185.0,176.5,185.0,-1.0,1653
2026-08-18,8033,2118292,398778794,185.0,195.0,185.0,186.0,-5.5,2550
2026-08-17,8033,31630547,6239984155,206.5,213.5,188.0,191.5,-10.0,32212
2026-08-14,8033,16897715,3267094180,182.0,201.5,182.0,201.5,18.0,14244
2026-08-13,8033,9506531,1695485271,174.0,183.5,173.5,183.5,10.5,7974
2026-08-12,8033,13435330,2368768782,185.0,185.0,172.5,173.0,-16.0,13337
2026-08-11,8033,8820185,1542385964,170.0,189.0,162.5,189.0,17.0,8172
2026-08-10,8033,6417956,1128240220,177.5,182.5,170.0,172.0,-13.0,7944
2026-08-07,8033,601074,111505706,190.0,190.0,184.5,185.0,-5.0,809
2026-08-06,8033,824341,155741411,187.5,191.0,184.0,190.0,1.0,942
2026-08-05,8033,1076498,202758421,190.5,190.5,185.0,189.0,10.5,1370
2026-08-04,8033,892286,158667955,175.5,180.0,175.5,178.5,6.0,1125
2026-08-03,8033,1035498,179550564,169.5,175.5,167.5,172.5,7.5,1271
2026-07-31,8033,1045281,171269794,165.0,165.0,160.0,165.0,15.0,1221
2026-07-30,8033,1582387,241414270,145.0,158.0,145.0,150.0,-7.0,1781
2026-07-29,8033,1651083,263661263,175.0,175.0,157.0,157.0,-17.0,2081
2026-07-28,8033,1050789,186229191,175.0,181.0,174.0,174.0,-12.0,1440
2026-07-27,8033,2106219,371821200,187.0,187.0,172.5,186.0,-1.0,2212
2026-07-24,8033,20294284,3817739298,187.0,194.5,182.0,187.0,-3.5,18670
2026-07-23,8033,14266472,2723062805,200.0,200.0,182.5,190.5,-6.0,14264
2026-07-22,8033,22040043,4447522426,214.5,214.5,193.0,196.5,-17.5,22923
2026-07-21,8033,22034619,4714509282,206.5,222.0,201.0,214.0,9.5,30930
2026-07-20,8033,27186589,5921446203,219.0,237.0,203.0,204.5,-14.5,54023
2026-07-17,8033,3089355,676568745,219.0,219.0,219.0,219.0,-24.0,6357
2026-07-16,8033,5924215,1512783562,255.0,265.0,243.0,243.0,-26.5,10351
2026-07-15,8033,5353704,1390946378,264.0,272.0,249.0,269.5,5.5,8007
2026-07-14,8033,9545030,2433061464,256.0,265.5,235.0,264.0,14.5,12076
2026-07-13,8033,6454071,1586215650,235.0,249.5,235.0,249.5,22.5,9240
2026-07-09,8033,6201224,1435218879,225.0,239.0,225.0,227.0,-0.5,8437
2026-07-08,8033,7654968,1706428292,223.0,227.5,213.0,227.5,20.5,9478
2026-07-07,8033,8165973,1686022944,222.0,222.0,200.0,207.0,-15.0,10421
2026-07-06,8033,9733990,2143343683,217.0,224.5,215.5,222.0,17.5,11273
2026-07-03,8033,10966815,2192791394,188.0,204.5,188.0,204.5,18.5,12538
2026-07-02,8033,53062536,10037672292,185.5,198.0,179.5,186.0,0.0,73630
2026-07-01,8033,25951532,4768588467,177.0,186.0,175.5,186.0,16.5,31921
2026-06-30,8033,37042097,6098791031,156.0,169.5,153.0,169.5,15.0,24814
2026-06-29,8033,11574293,1759411782,146.0,154.5,144.5,154.5,14.0,9150
2026-06-26,8033,4620133,646123502,139.0,143.0,136.5,140.5,2.0,4308
2026-06-25,8033,2779702,389197515,142.0,143.5,137.5,138.5,-1.5,2800
2026-06-24,8033,3366189,472239635,139.0,144.0,137.5,140.0,-1.0,6820
