date,stock_id,Open,High,Low,Close,Adj_Close,Volume
2026-08-27,NVDA,222.59,230.47,220.9,227.98,227.98,297197891
2026-08-26,NVDA,212.64,213.6,209.23,209.66,209.66,179900000
2026-08-25,NVDA,211.02,214.73,210.11,213.05,213.05,120441439
2026-08-24,NVDA,215.53,215.59,207.25,208.48,208.48,135187300
2026-08-21,NVDA,218.42,218.74,214.5,214.72,214.72,91591112
2026-08-20,NVDA,218.36,219.86,215.66,216.85,216.85,92457000
2026-08-19,NVDA,221.67,222.87,216.76,217.56,217.56,96797300
2026-08-18,NVDA,220.45,221.64,218.69,219.74,219.74,103128200
2026-08-17,NVDA,225.98,227.92,224.86,225.01,225.01,93678700
2026-08-14,NVDA,226.77,227.49,224.5,225.16,225.16,75680900
2026-08-13,NVDA,225.06,227.23,223.71,225.3,225.3,98867200
2026-08-12,NVDA,221.04,225.1,220.2,224.09,224.09,108783600
2026-08-11,NVDA,222.17,222.2,216.2,217.5,217.5,101273100
2026-08-10,NVDA,223.4,224.14,216.77,217.55,217.55,115846600
2026-08-07,NVDA,221.54,224.76,220.66,223.96,223.96,105669400
2026-08-06,NVDA,221.53,223.63,217.0,218.99,218.99,113940600
2026-08-05,NVDA,216.86,222.22,216.4,219.22,219.22,158187400
2026-08-04,NVDA,211.3,213.06,209.05,211.94,211.94,134922000
2026-08-03,NVDA,197.69,208.74,196.85,206.64,206.64,128406900
2026-07-31,NVDA,198.44,202.0,194.95,200.75,200.75,139961200
2026-07-30,NVDA,193.45,197.25,191.52,195.04,195.04,129010200
2026-07-29,NVDA,195.85,197.07,190.01,190.01,190.01,147680800
2026-07-28,NVDA,195.0,198.7,192.74,197.01,197.01,134111500
2026-07-27,NVDA,208.2,208.75,195.44,196.51,196.51,154353700
2026-07-24,NVDA,207.45,211.91,204.81,206.84,206.84,114836800
2026-07-23,NVDA,209.46,210.87,205.96,208.76,208.76,110505300
2026-07-22,NVDA,205.81,214.39,204.95,212.06,212.06,137645600
2026-07-21,NVDA,207.54,208.65,204.01,207.29,207.29,108685600
2026-07-20,NVDA,205.87,207.74,202.28,203.28,203.28,88701500
2026-07-17,NVDA,202.64,206.65,197.97,202.81,202.81,144281900
2026-07-16,NVDA,210.17,211.08,205.85,207.4,207.4,122986100
2026-07-15,NVDA,211.96,213.81,206.04,212.5,212.5,124797200
2026-07-14,NVDA,208.2,212.55,203.8,211.8,211.8,124379600
2026-07-13,NVDA,208.54,210.57,203.0,203.53,203.53,121411000
2026-07-10,NVDA,202.0,211.0,201.92,210.96,210.96,148421000
2026-07-09,NVDA,204.46,204.59,198.96,202.78,202.78,132037400
2026-07-08,NVDA,195.18,205.16,195.06,204.12,204.12,147419100
2026-07-07,NVDA,192.37,198.41,191.14,196.93,196.93,124154600
2026-07-06,NVDA,194.42,197.55,193.99,195.55,195.55,108999000
2026-07-02,NVDA,197.14,200.06,192.35,194.83,194.83,142068700
2026-07-01,NVDA,196.2,199.85,193.45,197.58,197.58,146147600
2026-06-30,NVDA,197.24,200.63,195.11,200.09,200.09,166476700
2026-06-29,NVDA,193.85,196.18,189.8,194.97,194.97,148835700
2026-06-26,NVDA,193.12,195.55,191.22,192.53,192.53,179304100
2026-06-25,NVDA,200.08,200.8,192.13,195.74,195.74,149550000
2026-06-24,NVDA,200.12,201.67,196.58,199.0,199.0,151810700
2026-06-23,NVDA,202.17,203.77,200.0,200.04,200.04,153496200
2026-06-22,NVDA,211.44,213.99,207.72,208.65,208.65,122041400
2026-06-18,NVDA,207.33,211.39,206.5,210.69,210.69,241272000
2026-06-17,NVDA,208.53,209.21,203.08,204.65,204.65,128363500
2026-06-16,NVDA,211.18,211.49,207.29,207.41,207.41,125694100
2026-06-15,NVDA,208.92,212.71,208.34,212.45,212.45,149936700
2026-06-12,NVDA,204.86,207.07,203.44,205.19,205.19,112001800
2026-06-11,NVDA,201.49,205.66,199.54,204.87,204.87,158643200
2026-06-10,NVDA,204.43,207.22,199.92,200.42,200.42,161746600
2026-06-09,NVDA,210.62,211.4,199.34,208.19,208.19,180962500
2026-06-08,NVDA,210.18,210.47,206.0,208.64,208.64,138372800
2026-06-05,NVDA,214.53,214.87,204.33,205.1,205.1,219655500
2026-06-04,NVDA,213.91,221.6,210.97,218.66,218.66,169022200
2026-06-03,NVDA,221.72,222.82,214.51,214.75,214.5,160907000
